PyPy,Radix,Bubble,-766.0632746259438,6.920666870220352e-189
Lua,Quick,Insertion,-886.1672681971575,3.794897068433326e-195
Lua,Insertion,Merge,846.0205332030604,1.0
Lua,Merge,Radix,241.92723532223565,1.0
Lua,Radix,Bubble,-1850.0132788941683,8.61018587135503e-227
Javascript,Quick,Insertion,2.4346945400155438,0.9916526665653387
Javascript,Insertion,Merge,40.994389270218676,1.0
Javascript,Merge,Radix,26.627547799437504,1.0
Javascript,Radix,Bubble,-909.632283103377,2.8554249617469903e-196
Perl,Quick,Insertion,3.539579263513649,0.9996938391873461
Perl,Insertion,Merge,755.032263978696,1.0
Perl,Merge,Radix,180.12398363189348,1.0
Perl,Radix,Bubble,-636.4556564964199,6.422286555130184e-181
Python,Quick,Insertion,1.845150340548987,0.9659975575159556
Python,Insertion,Merge,1019.0347622337316,1.0
Python,Merge,Radix,112.041670150706,1.0
Python,Radix,Bubble,-1491.017317829286,1.6225721128583704e-217
